ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20220614,3424.8171,,,,3387.1337,37.6834,1.1125,30262553.82,26106532.518
932368.CSI,20220615,3435.8533,,,,3424.8171,11.0362,0.3222,47900977.32,35717861.966
932368.CSI,20220616,3349.0309,,,,3435.8533,-86.8224,-2.527,38737607.41,32917611.462
932368.CSI,20220617,3337.4599,,,,3349.0309,-11.571,-0.3455,29453616.68,25138526.486
932368.CSI,20220620,3249.9664,,,,3337.4599,-87.4935,-2.6216,31946482.88,29970737.65
932368.CSI,20220621,3229.3866,,,,3249.9664,-20.5798,-0.6332,28339051.45,23749580.32
932368.CSI,20220622,3181.8865,,,,3229.3866,-47.5001,-1.4709,24843171.47,20671056.774
932368.CSI,20220623,3222.3216,,,,3181.8865,40.4351,1.2708,24027958.34,20419539.822
932368.CSI,20220624,3214.4817,,,,3222.3216,-7.8399,-0.2433,23865933.33,20106057.864
932368.CSI,20220627,3275.5879,,,,3214.4817,61.1062,1.901,27508162.27,25625493.752
932368.CSI,20220628,3330.9704,,,,3275.5879,55.3825,1.6908,32303086.14,27734316.6
932368.CSI,20220629,3294.1319,,,,3330.9704,-36.8385,-1.1059,33203715.59,28043333.473
932368.CSI,20220630,3295.9016,,,,3294.1319,1.7697,0.0537,23944662.29,20781787.16
932368.CSI,20220701,3297.2237,,,,3295.9016,1.3221,0.0401,20683605.4,20023931.351
932368.CSI,20220704,3295.0877,,,,3297.2237,-2.136,-0.0648,21569060.98,20213423.516
932368.CSI,20220705,3355.3946,,,,3295.0877,60.3069,1.8302,31722929.6,29203963.489
932368.CSI,20220706,3235.0878,,,,3355.3946,-120.3068,-3.5855,28176959.42,25945543.092
932368.CSI,20220707,3272.6284,,,,3235.0878,37.5406,1.1604,26180944.69,24497075.252
932368.CSI,20220708,3246.2353,,,,3272.6284,-26.3931,-0.8065,20217373.39,20551673.105
932368.CSI,20220711,3158.1383,,,,3246.2353,-88.097,-2.7138,23180343.6,20556662.02
932368.CSI,20220712,3168.8061,,,,3158.1383,10.6678,0.3378,19344254.95,17833325.581
932368.CSI,20220713,3150.4222,,,,3168.8061,-18.3839,-0.5802,17716534.44,15577812.982
932368.CSI,20220714,3123.7053,,,,3150.4222,-26.7169,-0.848,18580217.42,15677290.763
932368.CSI,20220715,3072.4198,,,,3123.7053,-51.2855,-1.6418,23841813.75,21182533.556
932368.CSI,20220718,3156.3584,,,,3072.4198,83.9386,2.732,22483941.09,20165752.424
932368.CSI,20220719,3157.6936,,,,3156.3584,1.3352,0.0423,19453681.17,17400034.87
932368.CSI,20220720,3154.0433,,,,3157.6936,-3.6503,-0.1156,16409127.3,15046116.841
932368.CSI,20220721,3079.6712,,,,3154.0433,-74.3721,-2.358,19453304.26,18409683.481
932368.CSI,20220722,3072.184,,,,3079.6712,-7.4872,-0.2431,18197972.85,15537866.284
