ts_code,end_date,total_liab,money_cap,total_assets
002175.SZ,20090930,156299651.63,103487761.07,414595938.2
002163.SZ,20090930,1489576226.88,261259605.1,2145174236.11
000780.SZ,20090930,1133023522.83,853106642.97,4041504936.32
002180.SZ,20090930,49455375.42,140554463.5,377484438.03
002157.SZ,20090930,940865111.16,200648903.9,1558636301.34
002151.SZ,20090930,135796574.01,150757298.08,428319931.79
002149.SZ,20090930,1079954536.21,321522907.35,1988744538.56
002252.SZ,20090930,75630746.81,436791402.51,786859629.34
000681.SZ,20090930,10071141.7,49649390.9,123002117.68
000701.SZ,20090930,2070523019.46,283837324.52,2982686066.99
000713.SZ,20090930,814833386.61,230009800.28,1392398945.81
000672.SZ,20090930,126693293.87,1591265.25,132986074.17
000777.SZ,20090930,362210340.24,256445741.37,964144663.62
000753.SZ,20090930,779209516.27,268275085.03,1290015254.23
002132.SZ,20090930,944166328.05,281164133.57,1823482145.16
000708.SZ,20090930,1612283832.0,394531221.0,3528172752.0
000702.SZ,20090930,473534223.09,118419222.89,901497234.02
000685.SZ,20090930,1418046515.11,352357016.37,5407422235.86
002137.SZ,20090930,278846627.74,94845282.41,795054925.31
000715.SZ,20090930,408664811.86,256178186.3,1339835135.7
000680.SZ,20090930,2534576160.01,1190163400.27,5782922128.96
002144.SZ,20090930,184704515.54,100568449.5,473603219.53
000703.SZ,20090930,134642105.89,4641466.6,329782364.82
000587.SZ,20090930,657430031.5,783071.26,332557784.37
002117.SZ,20090930,113413713.7,59812681.66,712389414.22
000599.SZ,20090930,2637456762.76,472278043.21,4037260017.14
002122.SZ,20090930,1939413296.29,314328580.38,5803566934.19
000607.SZ,20090930,1695894690.91,248833970.28,2552372387.34
000589.SZ,20090930,2881490700.22,475951715.35,4280635233.43
002126.SZ,20090930,650603680.3,165753989.62,1160069216.41
000582.SZ,20090930,401478091.19,45388569.21,682603640.85
000585.SZ,20090930,502720191.37,48331931.11,804568837.71
002120.SZ,20090930,520894544.41,79301739.3,908812070.58
000661.SZ,20090930,982444299.24,200057291.41,1625219426.64
000655.SZ,20090930,154174545.06,584856221.51,1745548023.05
000615.SZ,20090930,447550921.98,338622474.68,1185165377.96
000671.SZ,20090930,2369993792.12,261148969.37,3082674398.1
