ts_code,ann_date,f_ann_date,end_date,operate_profit
300450.SZ,20150424,20150424,20141231,74867042.05
300458.SZ,20150424,20150424,20141231,98025377.04
300459.SZ,20150424,20150424,20141231,38762088.21
300463.SZ,20150511,20150511,20141231,293001486.93
300474.SZ,20160314,20160314,20141231,89289571.88
300476.SZ,20150525,20150525,20141231,113914521.84
300482.SZ,20150610,20150610,20141231,91491054.39
300496.SZ,20151123,20151123,20141231,99043963.3
300487.SZ,20150610,20150610,20141231,67594064.44
300498.SZ,20150430,20150430,20141231,2757155103.92
300502.SZ,20160219,20160219,20141231,103948511.99
300529.SZ,20160714,20160714,20141231,174043502.57
300558.SZ,20161019,20161019,20141231,290561367.47
300567.SZ,20161109,20161109,20141231,34542673.23
300568.SZ,20161111,20161111,20141231,74266971.72
300570.SZ,20161115,20161115,20141231,97667323.33
300573.SZ,20161125,20161125,20141231,18069779.29
300595.SZ,20170104,20170104,20141231,72653862.91
300601.SZ,20170112,20170112,20141231,35977391.81
300604.SZ,20170330,20170330,20141231,21728795.72
300618.SZ,20170214,20170214,20141231,40105014.14
300623.SZ,20170222,20170222,20141231,86057134.7
300627.SZ,20170302,20170302,20141231,23411366.94
300628.SZ,20170302,20170302,20141231,163765775.79
300630.SZ,20170306,20170306,20141231,39702055.15
300661.SZ,20170518,20170518,20141231,65208942.36
300676.SZ,20170627,20170627,20141231,53559907.17
300677.SZ,20170703,20170703,20141231,39739865.42
300679.SZ,20170711,20170711,20141231,240330715.06
300682.SZ,20170712,20170712,20141231,116283758.16
300718.SZ,20171016,20171016,20141231,99717532.63
300699.SZ,20170815,20170815,20141231,47727201.16
300724.SZ,20171024,20171024,20141231,26102982.67
300735.SZ,20171211,20171211,20141231,95151181.65
300741.SZ,20171226,20171226,20141231,1728119083.0
300748.SZ,20170714,20170714,20141231,7810600.0
300750.SZ,20171110,20171110,20141231,16383245.89
300751.SZ,20170630,20170630,20141231,-196202.83
300757.SZ,20170630,20170630,20141231,-5270737.34
300759.SZ,20170630,20170630,20141231,24614910.02
300760.SZ,20170526,20170526,20141231,1207530700.0
300763.SZ,20171103,20171103,20141231,1347077.42
300765.SZ,20171229,20171229,20141231,124904241.1
300769.SZ,20171220,20171220,20141231,14301288.0
300782.SZ,20180323,20180323,20141231,1454626.96
300776.SZ,20170714,20170714,20141231,-277815.31
300832.SZ,20171031,20171031,20141231,274073501.88
300803.SZ,20171023,20171023,20141231,6636147.0
600000.SH,20150319,20150319,20141231,61751000000.0
302132.SZ,20150327,20150327,20141231,110892007.18
600004.SH,20150331,20150331,20141231,1575958856.19
600005.SH,20150427,20150427,20141231,1162412270.92
600006.SH,20150327,20150327,20141231,169663510.6
600007.SH,20150325,20150325,20141231,720070923.0
600008.SH,20150422,20150422,20141231,762365590.06
600009.SH,20150312,20150312,20141231,2805654455.21
600010.SH,20150429,20150429,20141231,519293888.06
600011.SH,20150325,20150325,20141231,18551998503.0
