ts_code,end_date,operate_profit,total_revenue
600325.SH,20070331,66595815.78,336250644.09
000839.SZ,20070331,50789179.23,401518344.08
000973.SZ,20070331,-1920087.94,1204422783.26
002076.SZ,20070331,9439213.35,63097704.06
002127.SZ,20070331,10441963.18,267784302.76
000938.SZ,20070331,5274544.1,839006252.77
001896.SZ,20070331,10046054.43,134559853.38
000802.SZ,20070331,-5049390.64,33080383.8
000948.SZ,20070331,-7546482.57,273362090.79
600055.SH,20070331,3606850.36,78363586.03
600001.SH,20070331,379523816.19,5984221244.26
000912.SZ,20070331,216058931.47,1285941568.56
000837.SZ,20070331,10187800.22,156194575.81
000881.SZ,20070331,10340806.44,321073387.47
600423.SH,20070331,25276044.51,292280304.43
000836.SZ,20070331,10703969.02,97604813.85
000552.SZ,20070331,12966218.86,74813382.61
002130.SZ,20070331,8227128.93,55914449.44
600176.SH,20070331,92392244.81,650752968.05
600232.SH,20070331,16509134.12,275134588.03
000546.SZ,20070331,-2877738.43,1742941.0
002016.SZ,20070331,-5779873.49,4791742.6
600283.SH,20070331,4264492.92,114733637.84
000987.SZ,20070331,81949438.2,615404899.45
002102.SZ,20070331,16734503.69,117828454.59
000776.SZ,20070331,2075868.01,13698600.0
000055.SZ,20070331,1052093.12,112731579.92
000975.SZ,20070331,3375994.49,23832388.88
000611.SZ,20070331,7616829.19,56161114.87
000506.SZ,20070331,-3098666.62,
000982.SZ,20070331,-12135586.97,24201839.67
600192.SH,20070331,11718099.04,363739227.94
600358.SH,20070331,1740621.1,35885687.51
600497.SH,20070331,358081467.35,1304631859.93
600088.SH,20070331,13296292.4,124645815.73
600099.SH,20070331,4463113.37,102379481.67
600228.SH,20070331,4442842.81,231998953.67
600116.SH,20070331,-5184276.49,108507416.65
600614.SH,20070331,-23916125.55,100542756.68
000561.SZ,20070331,-18580063.98,105707247.18
000418.SZ,20070331,27140115.82,1448227231.03
600705.SH,20070331,-28815302.43,81261602.92
000551.SZ,20070331,18600598.28,382947644.84
000978.SZ,20070331,2990749.88,54508725.97
002004.SZ,20070331,52619100.06,101800489.28
000567.SZ,20070331,2116172.88,27670881.72
000976.SZ,20070331,-11099441.79,468576849.55
000568.SZ,20070331,230207281.82,680312976.43
002023.SZ,20070331,3875952.37,44846725.32
000572.SZ,20070331,172469205.95,2457159499.22
002039.SZ,20070331,-21659413.85,39842828.72
002035.SZ,20070331,952167.83,217864632.86
000566.SZ,20070331,8906588.9,47311984.97
000570.SZ,20070331,12012516.93,478302938.69
002036.SZ,20070331,5525777.71,65651865.07
002030.SZ,20070331,5598152.16,39311012.88
002040.SZ,20070331,6378020.99,36601185.58
002053.SZ,20070331,34865419.85,307783180.69
002046.SZ,20070331,7148951.53,43302921.31
002034.SZ,20070331,2444465.87,172791755.43
002043.SZ,20070331,5554690.08,170491626.31
002058.SZ,20070331,264711.31,20970587.55
002047.SZ,20070331,8025545.19,338934289.54
002054.SZ,20070331,14666203.34,129097384.67
002051.SZ,20070331,77389700.23,446945857.38
002045.SZ,20070331,13331273.0,161939180.0
002052.SZ,20070331,14612494.94,292920962.44
002050.SZ,20070331,16764422.69,222338030.2
002028.SZ,20070331,21194392.87,190687512.25
002025.SZ,20070331,27153781.29,80145647.56
002042.SZ,20070331,-4619327.28,119853782.95
002055.SZ,20070331,7109712.44,152517768.28
002017.SZ,20070331,6375510.35,157451109.05
002068.SZ,20070331,11400828.83,232384067.94
002010.SZ,20070331,19405131.4,214456389.2
002072.SZ,20070331,8026002.75,223706488.4
002069.SZ,20070331,41949901.04,122538625.41
002078.SZ,20070331,81086091.66,1341196888.35
002064.SZ,20070331,113758672.19,332396642.49
002065.SZ,20070331,14207985.96,128229382.94
002059.SZ,20070331,-898923.68,47665814.03
002077.SZ,20070331,14337729.41,216199560.97
