ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
300015.SZ,20160329,20160329,20151231,1,1,3165580471.34,3165580471.34,1690659317.84,600670606.6,550167447.75,436581549.16,0.44
300008.SZ,20160326,20160326,20151231,1,1,1196842723.7,1196842723.7,1031424098.34,60255079.16,68835712.2,50883725.77,0.222
300019.SZ,20160319,20160319,20151231,1,1,606156362.25,606156362.25,406794879.84,90298990.44,103909614.22,89285957.69,0.2736
300025.SZ,20160317,20160317,20151231,1,1,1281457218.6,1281457218.6,914416970.68,128669075.24,129982052.05,108216802.18,0.51
002324.SZ,20160326,20160326,20151231,1,1,2787424215.69,2787424215.69,2126633422.36,280470778.47,314664294.9,260394318.85,0.96
300009.SZ,20160303,20160303,20151231,1,1,635755075.33,635755075.33,181220107.09,150139561.7,155972840.81,132431008.51,0.36
300026.SZ,20160323,20160323,20151231,1,1,3348250747.7,3348250747.7,578724309.92,579164084.27,618599575.91,536234422.76,0.6
002323.SZ,20160325,20180426,20151231,1,1,443808695.85,443808695.85,277342345.56,74854988.15,87081572.14,69326057.52,0.392
002342.SZ,20160321,20160321,20151231,1,1,1334488974.13,1334488974.13,1001828971.01,21545041.51,30569633.55,27128617.61,0.028
002538.SZ,20160310,20160310,20151231,1,1,2973856782.33,2973856782.33,2421162240.6,255886220.37,277131953.23,246688949.53,0.4
002523.SZ,20160326,20160326,20151231,1,1,916752947.04,916752947.04,658132249.5,90341090.14,94510389.71,82031286.98,0.17
601618.SH,20160330,20160330,20151231,1,1,217323972000.0,217323972000.0,188817361000.0,5938766000.0,7143136000.0,4948744000.0,0.24
603996.SH,20160330,20160330,20151231,1,1,3463163307.09,3463163307.09,3177853259.47,121980351.79,127065964.67,107929918.02,0.72
603788.SH,20160330,20160330,20151231,1,1,668421407.25,668421407.25,464438564.58,128394215.31,131112570.67,112395588.66,0.84
300436.SZ,20160328,20160328,20151231,1,1,308923392.89,308923392.89,37633083.09,114138550.81,121402528.86,103494573.49,0.9241
002755.SZ,20160330,20160330,20151231,1,1,278157189.48,278157189.48,186433464.02,22768906.88,23016976.1,18864536.34,0.21
002770.SZ,20160302,20160302,20151231,1,1,683064113.68,683064113.68,440588396.72,116608695.1,122834252.54,96677112.47,0.4
603939.SH,20160308,20160308,20151231,1,1,2845515855.74,2845515855.74,1729160138.73,232859968.65,239602241.67,178237384.26,0.57
300466.SZ,20160322,20160322,20151231,1,1,233243863.96,233243863.96,140998659.68,24961934.5,38189470.66,33138863.19,0.46
300472.SZ,20160318,20160318,20151231,1,1,214272084.27,214272084.27,144967131.67,21645918.57,28765066.4,25228234.56,0.43
300416.SZ,20160329,20160329,20151231,1,1,312932345.37,312932345.37,165696354.67,59469429.97,65625113.03,53384357.21,0.79
300495.SZ,20160328,20160328,20151231,1,1,580346645.31,580346645.31,373410908.61,130918979.15,129945890.19,110249114.06,2.2081
002793.SZ,20160328,20160328,20151231,1,1,584211860.09,584211860.09,414149155.98,90976760.03,94598000.01,81787382.39,1.09
300432.SZ,20160303,20160303,20151231,1,1,859407846.93,859407846.93,560758918.04,197861062.81,202350236.68,173706520.9,0.5733
